년도,월,도로,방향,지표,값
2023,1,갈매로,상행,점유율,1.687105
2023,1,갈매로,상행,총합,62183.0
2023,1,갈매로,상행,평균통행속도,50.8999
2023,1,갈매로,하행,점유율,2.33059
2023,1,갈매로,하행,총합,88950.5
2023,1,갈매로,하행,평균통행속도,44.8576
2023,1,당산로,상행,점유율,2.908266
2023,1,당산로,상행,총합,78308.0
2023,1,당산로,상행,평균통행속도,47.8911
2023,1,당산로,하행,점유율,2.677335
2023,1,당산로,하행,총합,39068.5
2023,1,당산로,하행,평균통행속도,47.284
2023,1,산학리길,상행,점유율,2.22689
2023,1,산학리길,상행,총합,15246.5
2023,1,산학리길,상행,평균통행속도,54.3096
2023,1,산학리길,하행,점유율,1.927463
2023,1,산학리길,하행,총합,24535.0
2023,1,산학리길,하행,평균통행속도,56.8917
2023,1,새내로,상행,점유율,7.788336
2023,1,새내로,상행,총합,49090.5
2023,1,새내로,상행,평균통행속도,32.8642
2023,1,새내로,하행,점유율,5.519966
2023,1,새내로,하행,총합,22315.5
2023,1,새내로,하행,평균통행속도,37.4729
2023,1,세종청주로,상행,점유율,2.815625
2023,1,세종청주로,상행,총합,54819.0
2023,1,세종청주로,상행,평균통행속도,89.9485
2023,1,세종청주로,하행,점유율,3.457013
2023,1,세종청주로,하행,총합,67845.5
2023,1,세종청주로,하행,평균통행속도,79.59
2023,1,시목부강로,상행,점유율,2.568556
2023,1,시목부강로,상행,총합,18120.5
2023,1,시목부강로,상행,평균통행속도,51.4885
2023,1,시목부강로,하행,점유율,2.446864
2023,1,시목부강로,하행,총합,41737.0
2023,1,시목부강로,하행,평균통행속도,47.8466
2023,1,시청대로,상행,점유율,4.329066
2023,1,시청대로,상행,총합,50002.5
2023,1,시청대로,상행,평균통행속도,26.6844
2023,1,시청대로,하행,점유율,3.304737
2023,1,시청대로,하행,총합,39786.0
2023,1,시청대로,하행,평균통행속도,33.1898
2023,1,연청로,상행,점유율,1.615036
2023,1,연청로,상행,총합,59499.3333333
2023,1,연청로,상행,평균통행속도,81.3046
2023,1,연청로,하행,점유율,2.291191
2023,1,연청로,하행,총합,45826.6666667
2023,1,연청로,하행,평균통행속도,78.5664
2023,1,용연로,상행,점유율,1.693147
2023,1,용연로,상행,총합,6506.0
2023,1,용연로,상행,평균통행속도,55.6822
2023,1,용연로,하행,점유율,1.988775
2023,1,용연로,하행,총합,14262.0
2023,1,용연로,하행,평균통행속도,53.8193
2023,1,일반국도1호선,상행,점유율,7.128799
2023,1,일반국도1호선,상행,총합,34803.0
2023,1,일반국도1호선,상행,평균통행속도,73.1507
2023,1,일반국도1호선,하행,점유율,3.607478
2023,1,일반국도1호선,하행,총합,262687.25
2023,1,일반국도1호선,하행,평균통행속도,79.2797
2023,1,일반국도36호선,하행,점유율,7.71483
2023,1,일반국도36호선,하행,총합,170146.6666667
2023,1,일반국도36호선,하행,평균통행속도,44.6626
2023,1,절재로,상행,점유율,3.307466
2023,1,절재로,상행,총합,140351.5
2023,1,절재로,상행,평균통행속도,70.0054
2023,1,절재로,하행,점유율,3.928051
2023,1,절재로,하행,총합,146900.5
2023,1,절재로,하행,평균통행속도,63.4536
2023,1,정안세종로,상행,점유율,2.249397
2023,1,정안세종로,상행,총합,145586.6666667
2023,1,정안세종로,상행,평균통행속도,56.4424
2023,1,정안세종로,하행,점유율,2.443242
2023,1,정안세종로,하행,총합,144599.6666667
2023,1,정안세종로,하행,평균통행속도,110.1516
2023,1,조치원로,상행,점유율,6.085926
2023,1,조치원로,상행,총합,84768.0
2023,1,조치원로,상행,평균통행속도,36.9119
2023,1,조치원로,하행,점유율,5.825987
2023,1,조치원로,하행,총합,42149.5
2023,1,조치원로,하행,평균통행속도,33.7286
2023,1,지방도604호선,상행,점유율,2.322001
2023,1,지방도604호선,상행,총합,120272.6666667
2023,1,지방도604호선,상행,평균통행속도,78.5433
2023,1,지방도604호선,하행,점유율,2.148019
2023,1,지방도604호선,하행,총합,79758.6666667
2023,1,지방도604호선,하행,평균통행속도,88.6011
2023,1,지방도96호선,상행,점유율,3.773609
2023,1,지방도96호선,상행,총합,52903.6875
2023,1,지방도96호선,상행,평균통행속도,69.2523
2023,1,지방도96호선,하행,점유율,3.396647
2023,1,지방도96호선,하행,총합,54955.8333333
2023,1,지방도96호선,하행,평균통행속도,61.7005
2023,1,청연로,상행,점유율,2.761507
2023,1,청연로,상행,총합,54026.0
2023,1,청연로,상행,평균통행속도,49.0727
2023,1,청연로,하행,점유율,3.474697
2023,1,청연로,하행,총합,28085.0
2023,1,청연로,하행,평균통행속도,45.7093
2023,1,충현로,상행,점유율,4.020833
2023,1,충현로,상행,총합,39393.0
2023,1,충현로,상행,평균통행속도,35.5215
2023,1,충현로,하행,점유율,3.906532
2023,1,충현로,하행,총합,111956.0
2023,1,충현로,하행,평균통행속도,36.75
2023,1,평기길,상행,점유율,1.976243
2023,1,평기길,상행,총합,8101.0
2023,1,평기길,상행,평균통행속도,46.2881
2023,1,평기길,하행,점유율,1.96435
2023,1,평기길,하행,총합,15326.0
2023,1,평기길,하행,평균통행속도,53.4699
2023,1,한누리대로,상행,점유율,4.358304
2023,1,한누리대로,상행,총합,111359.875
2023,1,한누리대로,상행,평균통행속도,49.254
2023,1,한누리대로,하행,점유율,4.865474
2023,1,한누리대로,하행,총합,123984.9
2023,1,한누리대로,하행,평균통행속도,48.6755
2023,1,행복대로,상행,점유율,2.140607
2023,1,행복대로,상행,총합,92745.6666667
2023,1,행복대로,상행,평균통행속도,77.0854
2023,1,행복대로,하행,점유율,3.174733
2023,1,행복대로,하행,총합,891.6666667
2023,1,행복대로,하행,평균통행속도,79.2022
2023,2,갈매로,상행,점유율,1.716974
2023,2,갈매로,상행,총합,62122.25
2023,2,갈매로,상행,평균통행속도,51.6517
2023,2,갈매로,하행,점유율,2.424422
2023,2,갈매로,하행,총합,90112.5
2023,2,갈매로,하행,평균통행속도,44.3386
2023,2,당산로,상행,점유율,3.146981
2023,2,당산로,상행,총합,68136.0
2023,2,당산로,상행,평균통행속도,47.8243
2023,2,당산로,하행,점유율,2.934459
2023,2,당산로,하행,총합,35545.0
2023,2,당산로,하행,평균통행속도,47.9459
2023,2,산학리길,상행,점유율,2.112076
2023,2,산학리길,상행,총합,14672.5
2023,2,산학리길,상행,평균통행속도,57.098
2023,2,산학리길,하행,점유율,2.000908
2023,2,산학리길,하행,총합,23719.0
2023,2,산학리길,하행,평균통행속도,59.2688
2023,2,새내로,상행,점유율,6.562723
2023,2,새내로,상행,총합,59752.0
2023,2,새내로,상행,평균통행속도,33.5477
2023,2,새내로,하행,점유율,5.054072
2023,2,새내로,하행,총합,26793.5
2023,2,새내로,하행,평균통행속도,38.8205
2023,2,세종청주로,상행,점유율,3.0287
2023,2,세종청주로,상행,총합,49434.5
2023,2,세종청주로,상행,평균통행속도,91.3847
2023,2,세종청주로,하행,점유율,3.593371
2023,2,세종청주로,하행,총합,73514.0
2023,2,세종청주로,하행,평균통행속도,81.0323
2023,2,시목부강로,상행,점유율,2.735671
2023,2,시목부강로,상행,총합,16326.0
2023,2,시목부강로,상행,평균통행속도,51.7572
2023,2,시목부강로,하행,점유율,2.540366
2023,2,시목부강로,하행,총합,38532.0
2023,2,시목부강로,하행,평균통행속도,49.2596
2023,2,시청대로,상행,점유율,4.579902
2023,2,시청대로,상행,총합,48487.5
2023,2,시청대로,상행,평균통행속도,26.1178
2023,2,시청대로,하행,점유율,3.902515
2023,2,시청대로,하행,총합,39987.0
2023,2,시청대로,하행,평균통행속도,30.7106
2023,2,연청로,상행,점유율,1.684782
2023,2,연청로,상행,총합,53444.0
2023,2,연청로,상행,평균통행속도,82.9079
2023,2,연청로,하행,점유율,2.419034
2023,2,연청로,하행,총합,48319.0
2023,2,연청로,하행,평균통행속도,78.6729
2023,2,용연로,상행,점유율,1.758101
2023,2,용연로,상행,총합,6500.0
2023,2,용연로,상행,평균통행속도,56.8282
2023,2,용연로,하행,점유율,2.080527
2023,2,용연로,하행,총합,14012.0
2023,2,용연로,하행,평균통행속도,55.2882
2023,2,일반국도1호선,상행,점유율,5.602758
2023,2,일반국도1호선,상행,총합,65894.25
2023,2,일반국도1호선,상행,평균통행속도,75.905
2023,2,일반국도1호선,하행,점유율,3.781553
2023,2,일반국도1호선,하행,총합,235426.5
2023,2,일반국도1호선,하행,평균통행속도,79.8601
2023,2,일반국도36호선,하행,점유율,9.076433
2023,2,일반국도36호선,하행,총합,162580.3333333
2023,2,일반국도36호선,하행,평균통행속도,41.3602
2023,2,절재로,상행,점유율,3.486386
2023,2,절재로,상행,총합,136903.5
2023,2,절재로,상행,평균통행속도,70.8152
2023,2,절재로,하행,점유율,4.079278
2023,2,절재로,하행,총합,142263.0
2023,2,절재로,하행,평균통행속도,63.9501
2023,2,정안세종로,상행,점유율,2.296759
2023,2,정안세종로,상행,총합,140772.6666667
2023,2,정안세종로,상행,평균통행속도,57.2117
2023,2,정안세종로,하행,점유율,2.545923
2023,2,정안세종로,하행,총합,140313.3333333
2023,2,정안세종로,하행,평균통행속도,112.4266
2023,2,조치원로,상행,점유율,6.164128
2023,2,조치원로,상행,총합,74221.0
2023,2,조치원로,상행,평균통행속도,36.9103
2023,2,조치원로,하행,점유율,6.220496
2023,2,조치원로,하행,총합,36770.25
2023,2,조치원로,하행,평균통행속도,33.6523
2023,2,지방도604호선,상행,점유율,2.309044
2023,2,지방도604호선,상행,총합,105177.0
2023,2,지방도604호선,상행,평균통행속도,80.0582
2023,2,지방도604호선,하행,점유율,2.205609
2023,2,지방도604호선,하행,총합,79043.3333333
2023,2,지방도604호선,하행,평균통행속도,89.2947
2023,2,지방도96호선,상행,점유율,4.070432
2023,2,지방도96호선,상행,총합,46207.1875
2023,2,지방도96호선,상행,평균통행속도,66.7724
2023,2,지방도96호선,하행,점유율,3.641928
2023,2,지방도96호선,하행,총합,53452.3333333
2023,2,지방도96호선,하행,평균통행속도,62.2447
2023,2,청연로,상행,점유율,2.799283
2023,2,청연로,상행,총합,47604.0
2023,2,청연로,상행,평균통행속도,50.1863
2023,2,청연로,하행,점유율,3.547528
2023,2,청연로,하행,총합,24942.5
2023,2,청연로,하행,평균통행속도,45.8963
2023,2,충현로,상행,점유율,4.26965
2023,2,충현로,상행,총합,35115.5
2023,2,충현로,상행,평균통행속도,35.758
2023,2,충현로,하행,점유율,4.09535
2023,2,충현로,하행,총합,99198.0
2023,2,충현로,하행,평균통행속도,37.2134
2023,2,평기길,상행,점유율,1.995085
2023,2,평기길,상행,총합,6832.5
2023,2,평기길,상행,평균통행속도,47.3844
2023,2,평기길,하행,점유율,2.056872
2023,2,평기길,하행,총합,14223.0
2023,2,평기길,하행,평균통행속도,54.4343
2023,2,한누리대로,상행,점유율,4.395793
2023,2,한누리대로,상행,총합,105697.0
2023,2,한누리대로,상행,평균통행속도,49.9064
2023,2,한누리대로,하행,점유율,4.859649
2023,2,한누리대로,하행,총합,119450.6
2023,2,한누리대로,하행,평균통행속도,49.2984
2023,2,행복대로,상행,점유율,2.183995
2023,2,행복대로,상행,총합,52296.6666667
2023,2,행복대로,상행,평균통행속도,77.5699
2023,2,행복대로,하행,점유율,2.635838
2023,2,행복대로,하행,총합,873.6666667
2023,2,행복대로,하행,평균통행속도,82.3953
2023,3,갈매로,상행,점유율,1.689079
2023,3,갈매로,상행,총합,69921.0
2023,3,갈매로,상행,평균통행속도,51.8169
2023,3,갈매로,하행,점유율,2.394245
2023,3,갈매로,하행,총합,99972.5
2023,3,갈매로,하행,평균통행속도,43.9005
2023,3,당산로,상행,점유율,3.581923
2023,3,당산로,상행,총합,83632.0
2023,3,당산로,상행,평균통행속도,47.6335
2023,3,당산로,하행,점유율,3.287967
2023,3,당산로,하행,총합,44426.5
2023,3,당산로,하행,평균통행속도,47.9668
2023,3,산학리길,상행,점유율,2.035014
2023,3,산학리길,상행,총합,18200.5
2023,3,산학리길,상행,평균통행속도,57.7892
2023,3,산학리길,하행,점유율,2.028945
2023,3,산학리길,하행,총합,29868.0
2023,3,산학리길,하행,평균통행속도,59.4963
2023,3,새내로,상행,점유율,7.168604
2023,3,새내로,상행,총합,74710.25
2023,3,새내로,상행,평균통행속도,33.0468
2023,3,새내로,하행,점유율,5.327497
2023,3,새내로,하행,총합,32438.25
2023,3,새내로,하행,평균통행속도,38.2351
2023,3,세종청주로,상행,점유율,3.075777
2023,3,세종청주로,상행,총합,53883.0
2023,3,세종청주로,상행,평균통행속도,92.413
2023,3,세종청주로,하행,점유율,3.701166
2023,3,세종청주로,하행,총합,71552.0
2023,3,세종청주로,하행,평균통행속도,82.1739
2023,3,시목부강로,상행,점유율,2.927185
2023,3,시목부강로,상행,총합,20431.5
2023,3,시목부강로,상행,평균통행속도,51.7064
2023,3,시목부강로,하행,점유율,2.684154
2023,3,시목부강로,하행,총합,49014.0
2023,3,시목부강로,하행,평균통행속도,49.6238
2023,3,시청대로,상행,점유율,4.674955
2023,3,시청대로,상행,총합,54402.5
2023,3,시청대로,상행,평균통행속도,26.2796
2023,3,시청대로,하행,점유율,3.630014
2023,3,시청대로,하행,총합,45481.5
2023,3,시청대로,하행,평균통행속도,32.257
2023,3,연청로,상행,점유율,1.744154
2023,3,연청로,상행,총합,65940.6666667
2023,3,연청로,상행,평균통행속도,83.5823
2023,3,연청로,하행,점유율,2.526255
2023,3,연청로,하행,총합,60232.0
2023,3,연청로,하행,평균통행속도,78.6702
2023,3,용연로,상행,점유율,1.860825
2023,3,용연로,상행,총합,8594.0
2023,3,용연로,상행,평균통행속도,56.4993
2023,3,용연로,하행,점유율,2.298234
2023,3,용연로,하행,총합,18816.0
2023,3,용연로,하행,평균통행속도,54.7665
2023,3,일반국도1호선,상행,점유율,5.414337
2023,3,일반국도1호선,상행,총합,227295.75
2023,3,일반국도1호선,상행,평균통행속도,74.9766
2023,3,일반국도1호선,하행,점유율,3.845397
2023,3,일반국도1호선,하행,총합,279102.0
2023,3,일반국도1호선,하행,평균통행속도,80.0794
2023,3,일반국도36호선,상행,점유율,5.636282
2023,3,일반국도36호선,상행,총합,28473.0
2023,3,일반국도36호선,상행,평균통행속도,42.3718
2023,3,일반국도36호선,하행,점유율,9.001532
2023,3,일반국도36호선,하행,총합,180893.6666667
2023,3,일반국도36호선,하행,평균통행속도,41.0955
2023,3,절재로,상행,점유율,3.435959
2023,3,절재로,상행,총합,53349.0
2023,3,절재로,상행,평균통행속도,71.1236
2023,3,절재로,하행,점유율,4.12698
2023,3,절재로,하행,총합,160446.5
2023,3,절재로,하행,평균통행속도,64.4784
2023,3,정안세종로,상행,점유율,2.152797
2023,3,정안세종로,상행,총합,156674.0
2023,3,정안세종로,상행,평균통행속도,58.7812
2023,3,정안세종로,하행,점유율,2.46041
2023,3,정안세종로,하행,총합,154999.0
2023,3,정안세종로,하행,평균통행속도,114.1356
2023,3,조치원로,상행,점유율,6.518823
2023,3,조치원로,상행,총합,88711.5
2023,3,조치원로,상행,평균통행속도,36.6366
2023,3,조치원로,하행,점유율,6.792714
2023,3,조치원로,하행,총합,44035.75
2023,3,조치원로,하행,평균통행속도,33.2422
2023,3,지방도604호선,상행,점유율,2.348356
2023,3,지방도604호선,상행,총합,128218.0
2023,3,지방도604호선,상행,평균통행속도,81.0056
2023,3,지방도604호선,하행,점유율,2.429373
2023,3,지방도604호선,하행,총합,98363.0
2023,3,지방도604호선,하행,평균통행속도,89.5786
2023,3,지방도96호선,상행,점유율,4.539431
2023,3,지방도96호선,상행,총합,46727.75
2023,3,지방도96호선,상행,평균통행속도,61.6538
2023,3,지방도96호선,하행,점유율,3.531328
2023,3,지방도96호선,하행,총합,60526.75
2023,3,지방도96호선,하행,평균통행속도,62.5292
2023,3,청연로,상행,점유율,2.875878
2023,3,청연로,상행,총합,59335.0
2023,3,청연로,상행,평균통행속도,50.4716
2023,3,청연로,하행,점유율,3.678027
2023,3,청연로,하행,총합,31142.0
2023,3,청연로,하행,평균통행속도,45.5365
