년도,월,일,날짜,행정구역,승차,하차,환승
2023,1,1,2023-01-01,가람동,53,47,7
2023,1,1,2023-01-01,고운동,1090,958,93
2023,1,1,2023-01-01,금남면,421,352,27
2023,1,1,2023-01-01,나성동,999,747,97
2023,1,1,2023-01-01,다정동,285,249,13
2023,1,1,2023-01-01,대평동,1016,871,492
2023,1,1,2023-01-01,도담동,2427,2278,685
2023,1,1,2023-01-01,반곡동,531,543,22
2023,1,1,2023-01-01,보람동,325,311,36
2023,1,1,2023-01-01,부강면,115,104,4
2023,1,1,2023-01-01,소정면,31,11,0
2023,1,1,2023-01-01,아름동,1197,1028,95
2023,1,1,2023-01-01,어진동,1755,1574,544
2023,1,1,2023-01-01,연기면,563,672,83
2023,1,1,2023-01-01,연동면,80,75,4
2023,1,1,2023-01-01,연서면,268,285,18
2023,1,1,2023-01-01,장군면,357,226,22
2023,1,1,2023-01-01,전동면,110,74,3
2023,1,1,2023-01-01,전의면,177,139,12
2023,1,1,2023-01-01,조치원읍,3306,2337,187
2023,1,1,2023-01-01,종촌동,933,1075,67
2023,1,1,2023-01-01,한솔동,1570,1516,189
2023,1,2,2023-01-02,가람동,26,27,6
2023,1,2,2023-01-02,고운동,1967,1728,164
2023,1,2,2023-01-02,금남면,881,722,89
2023,1,2,2023-01-02,나성동,1821,1458,183
2023,1,2,2023-01-02,다정동,453,501,25
2023,1,2,2023-01-02,대평동,1786,1622,1113
2023,1,2,2023-01-02,도담동,4917,4127,1210
2023,1,2,2023-01-02,반곡동,1544,1495,79
2023,1,2,2023-01-02,보람동,698,568,99
2023,1,2,2023-01-02,부강면,232,143,9
2023,1,2,2023-01-02,소정면,60,35,0
2023,1,2,2023-01-02,아름동,2508,2076,150
2023,1,2,2023-01-02,어진동,4297,3959,1013
2023,1,2,2023-01-02,연기면,1186,1132,180
2023,1,2,2023-01-02,연동면,147,102,8
2023,1,2,2023-01-02,연서면,521,439,35
2023,1,2,2023-01-02,장군면,428,254,30
2023,1,2,2023-01-02,전동면,185,141,2
2023,1,2,2023-01-02,전의면,366,244,36
2023,1,2,2023-01-02,조치원읍,5144,4192,354
2023,1,2,2023-01-02,종촌동,1820,1670,132
2023,1,2,2023-01-02,한솔동,2932,2740,325
2023,1,3,2023-01-03,가람동,34,41,12
2023,1,3,2023-01-03,고운동,2236,1875,203
2023,1,3,2023-01-03,금남면,798,651,91
2023,1,3,2023-01-03,나성동,1846,1510,168
2023,1,3,2023-01-03,다정동,555,565,26
2023,1,3,2023-01-03,대평동,1755,1656,1071
2023,1,3,2023-01-03,도담동,5127,4442,1307
2023,1,3,2023-01-03,반곡동,1646,1552,78
2023,1,3,2023-01-03,보람동,688,572,92
2023,1,3,2023-01-03,부강면,235,145,16
2023,1,3,2023-01-03,소정면,70,48,5
2023,1,3,2023-01-03,아름동,2785,2305,166
2023,1,3,2023-01-03,어진동,4519,4258,1015
2023,1,3,2023-01-03,연기면,1284,1219,176
2023,1,3,2023-01-03,연동면,165,109,4
2023,1,3,2023-01-03,연서면,457,370,43
2023,1,3,2023-01-03,장군면,436,253,22
2023,1,3,2023-01-03,전동면,195,137,2
2023,1,3,2023-01-03,전의면,375,240,29
2023,1,3,2023-01-03,조치원읍,4995,4164,363
2023,1,3,2023-01-03,종촌동,1902,1732,106
2023,1,3,2023-01-03,한솔동,3035,2878,369
2023,1,4,2023-01-04,가람동,31,42,8
2023,1,4,2023-01-04,고운동,2245,1910,175
2023,1,4,2023-01-04,금남면,785,654,77
2023,1,4,2023-01-04,나성동,2042,1586,182
2023,1,4,2023-01-04,다정동,545,581,38
2023,1,4,2023-01-04,대평동,1860,1729,1194
2023,1,4,2023-01-04,도담동,5428,4659,1357
2023,1,4,2023-01-04,반곡동,1668,1567,84
2023,1,4,2023-01-04,보람동,700,623,103
2023,1,4,2023-01-04,부강면,249,160,14
2023,1,4,2023-01-04,소정면,57,34,1
2023,1,4,2023-01-04,아름동,2815,2417,199
2023,1,4,2023-01-04,어진동,4588,4405,1038
2023,1,4,2023-01-04,연기면,1329,1208,175
2023,1,4,2023-01-04,연동면,191,133,3
2023,1,4,2023-01-04,연서면,555,440,46
2023,1,4,2023-01-04,장군면,467,330,22
2023,1,4,2023-01-04,전동면,229,150,4
2023,1,4,2023-01-04,전의면,399,290,46
2023,1,4,2023-01-04,조치원읍,5505,4668,474
2023,1,4,2023-01-04,종촌동,2006,1784,115
2023,1,4,2023-01-04,한솔동,3168,3006,341
2023,1,5,2023-01-05,가람동,24,39,3
2023,1,5,2023-01-05,고운동,2197,1897,185
2023,1,5,2023-01-05,금남면,841,683,90
2023,1,5,2023-01-05,나성동,2027,1579,217
2023,1,5,2023-01-05,다정동,538,592,31
2023,1,5,2023-01-05,대평동,1796,1642,1074
2023,1,5,2023-01-05,도담동,5295,4660,1364
2023,1,5,2023-01-05,반곡동,1657,1572,86
2023,1,5,2023-01-05,보람동,695,641,93
2023,1,5,2023-01-05,부강면,256,192,12
2023,1,5,2023-01-05,소정면,60,32,0
