행정구역,위도,경도,건물수
가람동,36.51257075008273,127.23435639079871,754
고운동,36.48383790989991,127.30078536937935,168
금남면,36.45470547400584,127.29228850731104,6532
나성동,36.50359301869778,127.24762857766619,196
다정동,36.51580295414939,127.2489455788452,335
대평동,36.4951317676075,127.24600401095555,281
도담동,36.47843613805419,127.25415120534785,238
반곡동,36.526619221838565,127.26999220700161,117
반포면,36.474705474005845,127.30228850731105,0
보람동,36.485426850443,127.25056798485532,281
부강면,36.52446511075059,127.37443103930967,4864
소정면,36.71294139639835,127.1663786974725,1911
아름동,36.4777785333046,127.29044246696756,219
어진동,36.48828010375694,127.26079412168927,128
연기면,36.54572597176921,127.26248449797936,2606
연동면,36.553692088908726,127.33097711525977,3910
연서면,36.57723225156481,127.25591941732253,8240
장군면,36.50685844696168,127.20905905955793,5883
전동면,36.65146674858409,127.25289848721694,4932
전의면,36.66927613835936,127.19599453427581,5217
조치원읍,36.602257243148586,127.29394299819079,8512
종촌동,36.47189084842839,127.27848773817263,139
한솔동,36.49615465532146,127.31141319480736,238
