노선번호,정류장수,고유정류장수,노선길이_km,커버지역수,커버지역,총커버수요,정류장밀도_per_km,수요밀도_per_km,정류장당수요,효율성등급
1004,75,75,161.84,6,"가람동, 나성동, 다정동, 대평동, 도담동, 보람동",19040000,0.46,117649,253866,높음
1005,38,38,103.91,4,"가람동, 대평동, 도담동, 보람동",14486417,0.37,139418,381221,높음
11,30,30,10.25,1,조치원읍,11330610,2.93,1105890,377687,매우높음
12,30,30,10.07,1,조치원읍,11330610,2.98,1124975,377687,매우높음
13,28,28,10.25,1,조치원읍,11330610,2.73,1105217,404664,매우높음
16,64,63,183.8,2,"연기면, 조치원읍",14837115,0.35,80724,231829,보통
17,46,45,109.73,1,조치원읍,11330610,0.42,103261,246317,높음
201,50,48,43.1,3,"가람동, 나성동, 다정동",4659896,1.16,108114,93197,높음
203,61,55,64.79,2,"대평동, 어진동",11778062,0.94,181777,193082,높음
221,65,65,173.43,5,"가람동, 고운동, 나성동, 아름동, 종촌동",16676827,0.37,96159,256566,보통
300,84,84,473.57,3,"부강면, 연동면, 조치원읍",12001543,0.18,25342,142875,낮음
31,55,52,178.5,1,조치원읍,11330610,0.31,63477,206011,보통
32,74,71,208.97,1,연동면,245202,0.35,1173,3313,낮음
33,84,69,266.63,1,연동면,245202,0.32,919,2919,낮음
35,42,37,23.18,0,,0,1.81,0,0,
52,39,39,18.15,4,"나성동, 도담동, 보람동, 어진동",22043586,2.15,1214338,565220,매우높음
53,38,38,18.03,4,"나성동, 도담동, 보람동, 어진동",22043586,2.11,1222776,580094,매우높음
61,40,39,105.1,1,도담동,9410569,0.38,89536,235264,보통
62,23,23,47.19,1,종촌동,3599774,0.49,76288,156511,보통
64,28,28,48.19,1,종촌동,3599774,0.58,74707,128563,보통
66,41,38,79.89,3,"반포면, 아름동, 종촌동",8758193,0.51,109634,213614,높음
661,58,53,166.29,3,"반포면, 아름동, 종촌동",8758193,0.35,52668,151003,보통
67,38,38,87.96,3,"반포면, 아름동, 종촌동",8758193,0.43,99566,230478,보통
69,42,42,118.83,3,"반포면, 아름동, 종촌동",8758193,0.35,73705,208528,보통
691,58,57,204.04,3,"반포면, 아름동, 종촌동",8758193,0.28,42923,151003,낮음
71,73,71,209.35,1,조치원읍,11330610,0.35,54124,155213,보통
72,118,82,104.64,2,"연서면, 조치원읍",12266863,1.13,117225,103956,높음
73,54,54,21.19,2,"연서면, 조치원읍",12266863,2.55,578791,227164,매우높음
74,29,29,11.87,1,조치원읍,11330610,2.44,954428,390710,매우높음
75,93,88,419.65,1,조치원읍,11330610,0.22,26999,121834,낮음
76,38,38,15.95,1,조치원읍,11330610,2.38,710434,298173,매우높음
81,21,20,43.31,0,,0,0.48,0,0,
82,46,43,130.14,1,전의면,660406,0.35,5074,14356,낮음
83,30,24,26.75,0,,0,1.12,0,0,
84,41,28,35.3,0,,0,1.16,0,0,
85,48,45,102.18,0,,0,0.47,0,0,
86,104,104,496.43,3,"연서면, 전의면, 조치원읍",12927269,0.21,26040,124300,낮음
91,62,57,195.51,1,조치원읍,11330610,0.32,57953,182751,보통
910,92,92,568.1,1,조치원읍,11330610,0.16,19944,123158,낮음
92,52,51,139.19,1,조치원읍,11330610,0.37,81402,217896,보통
93,53,53,117.02,1,조치원읍,11330610,0.45,96825,213785,보통
94,54,54,116.05,1,조치원읍,11330610,0.47,97638,209826,보통
95,67,66,227.18,1,조치원읍,11330610,0.29,49874,169113,낮음
B0,90,44,221.15,5,"고운동, 아름동, 어진동, 종촌동, 한솔동",27299702,0.41,123444,303330,높음
B2,28,27,131.34,2,"어진동, 종촌동",11567416,0.21,88074,413122,보통
B5,58,56,128.89,8,"고운동, 나성동, 다정동, 대평동, 아름동, 어진동, 종촌동, 한솔동",35663705,0.45,276690,614891,매우높음
