구분,노선번호,기점지,경유지,종점지,배차간격,운행횟수,등록기준일,배차간격_분,운행횟수_일,일평균_운행시간,커버지역,커버지역수,추정수요,수요대비운행비율,배차적정성,최적화제안,최적화우선순위
BRT,B5,세종고속시외버스터미널,고운동+아름동,세종고속시외버스터미널,15~20분,54,2025-05-27,17.5,54.0,15.75,"['고운동', '아름동']",2,9464480,0.570554325224418,부족,배차간격 18분 → 12분으로 소폭 단축 | 일 운행횟수 54회 → 100회 이상으로 증편,0.7
지선버스,53,장군면사무소,한솔동,장군면사무소,30분,,2025-05-27,30.0,0.0,0.0,"['장군면', '한솔동']",2,7397603,0.0,심각부족,배차간격 30분 → 8-10분으로 단축 (고수요 노선) | 일 운행횟수 0회 → 100회 이상으로 증편,0.6908087396243638
지선버스,275,누리동,나성동,시립도서관,24분,44회,2025-05-27,24.0,44.0,17.6,['나성동'],1,3506260,1.2548983817514958,심각부족,배차간격 24분 → 8-10분으로 단축 (고수요 노선) | 일 운행횟수 44회 → 100회 이상으로 증편 | 경유지 추가로 커버리지 확대 필요,0.4852325748482748
지선버스,201,정부세종청사,고운동커뮤니티센터,정부세종청사,10~20분,60회,2025-05-27,15.0,60.0,15.0,['고운동'],1,4307169,1.3930263706857104,부족,배차간격 15분 → 12분으로 소폭 단축 | 일 운행횟수 60회 → 100회 이상으로 증편 | 경유지 추가로 커버리지 확대 필요,0.4275438798539381
지선버스,52,장군면사무소,공정거래위원회,장군면사무소,30분,,2025-05-27,30.0,0.0,0.0,['장군면'],1,1129797,0.0,심각부족,배차간격 30분 → 8-10분으로 단축 (고수요 노선) | 일 운행횟수 0회 → 100회 이상으로 증편 | 경유지 추가로 커버리지 확대 필요,0.35968616342366405
광역버스,1003,반석역,다정동,오송2지구,10~20분,64,2025-05-27,15.0,64.0,16.0,['다정동'],1,1047323,6.110817770640003,부족,배차간격 15분 → 12분으로 소폭 단축 | 일 운행횟수 64회 → 100회 이상으로 증편 | 경유지 추가로 커버리지 확대 필요,0.25532913588490863
광역버스,1005,은하수공원,다정동커뮤니티센터,오송역,15~20,55.5,2025-05-27,17.5,55.5,16.1875,['다정동'],1,1047323,5.299224785476878,부족,배차간격 18분 → 12분으로 소폭 단축 | 일 운행횟수 56회 → 100회 이상으로 증편 | 경유지 추가로 커버리지 확대 필요,0.25532913588490863
지선버스,204,충남대병원세종의원,다정동커뮤니티센터,충남대병원세종의원,10~20분,61회,2025-05-27,15.0,61.0,15.25,['다정동'],1,1047323,5.824373187641253,부족,배차간격 15분 → 12분으로 소폭 단축 | 일 운행횟수 61회 → 100회 이상으로 증편 | 경유지 추가로 커버리지 확대 필요,0.25532913588490863
광역버스,1004,장기중학교,다정동커뮤니티센터,반석역,12~20,62,2025-05-27,16.0,62.0,16.533333333333335,['다정동'],1,1047323,5.919854715307504,부족,배차간격 16분 → 12분으로 소폭 단축 | 일 운행횟수 62회 → 100회 이상으로 증편 | 경유지 추가로 커버리지 확대 필요,0.25532913588490863
간선버스,801,문화체육관광부,전의면사무소,민석아파트,20분,53회,2025-05-27,20.0,53.0,17.666666666666668,['전의면'],1,660406,8.02536621411677,부족,배차간격 20분 → 12분으로 소폭 단축 | 일 운행횟수 53회 → 100회 이상으로 증편 | 경유지 추가로 커버리지 확대 필요,0.23488865738001455
BRT,B6,세종고속시외버스터미널,정부세종청사,오송역,5~100분,40,2025-05-27,52.5,40.0,35.0,[],0,0,0.0,부족,추가 분석 필요,0.2
간선버스,340,조치원터미널,명학산업단지,세종터미널,60분,18회,2025-05-27,60.0,18.0,18.0,[],0,0,0.0,부족,추가 분석 필요,0.2
지선버스,300,조치원터미널,부강역,신탄진역,40분,,2025-05-27,40.0,0.0,0.0,[],0,0,0.0,부족,추가 분석 필요,0.2
간선버스,550,조치원역,정부세종청사,산성동종점,60분,11회,2025-05-27,60.0,11.0,11.0,[],0,0,0.0,부족,추가 분석 필요,0.2
지선버스,61,세종터미널,한국영상대,세종터미널,60분,,2025-05-27,60.0,0.0,0.0,[],0,0,0.0,부족,추가 분석 필요,0.2
마을버스,75,조치원터미널,용암2리,장군면,,8회,2025-05-27,,8.0,,['장군면'],1,1129797,0.70809180764332,정보없음,일 운행횟수 8회 → 100회 이상으로 증편 | 경유지 추가로 커버리지 확대 필요,0.059686163423664056
마을버스,71,조치원터미널,연서면,청라리,,8회,2025-05-27,,8.0,,['연서면'],1,936253,0.854469892219304,정보없음,일 운행횟수 8회 → 100회 이상으로 증편 | 경유지 추가로 커버리지 확대 필요,0.04946140728280898
