정류소ID,정류소명,위도,경도,할당_승차,할당_하차,할당_환승,평균거리_km,할당_총수요
SJB293064220,세종고속시외버스터미널(지하),36.4708162,127.2731717,0.0,0.0,0.0,0.0,0.0
SJB293053011,한솔동,36.48034,127.26243,0.0,0.0,0.0,0.0,0.0
SJB293053005,새롬동.나성동,36.48685,127.25785,0.0,0.0,0.0,0.0,0.0
SJB293054003,다정동,36.4939251,127.2563976,0.0,0.0,0.0,0.0,0.0
SJB293062006,정부세종청사남측,36.5008869,127.2596196,0.0,0.0,0.0,0.0,0.0
SJB293062011,정부세종청사북측,36.504176,127.2611617,0.0,0.0,0.0,0.0,0.0
SJB293056003,도담동,36.5140662,127.259188,0.0,0.0,0.0,0.0,0.0
SJB293064445,세종충남대학교병원,36.520517,127.259481,0.0,0.0,0.0,0.0,0.0
SJB293014014,해밀리,36.528653,127.2638902,0.0,0.0,0.0,0.0,0.0
SJB293014025,한별리,36.53377,127.27527,0.0,0.0,0.0,0.0,0.0
SJB293064420,누리리,36.533978,127.29214,0.0,0.0,0.0,0.0,0.0
SJB293064493,다솜리,36.5319645,127.3198216,0.0,0.0,0.0,0.0,0.0
SJB293064416,산학연클러스터,36.501718,127.328826,0.0,0.0,0.0,0.0,0.0
SJB293064418,집현리,36.498135,127.322785,0.0,0.0,0.0,0.0,0.0
SJB293064257,반곡동(수루배마을),36.497739,127.312279,0.0,0.0,0.0,0.0,0.0
SJB293064261,국책연구단지,36.492195,127.304331,0.0,0.0,0.0,0.0,0.0
SJB293064254,"법원.검찰청,경찰청",36.486842,127.301429,0.0,0.0,0.0,0.0,0.0
SJB293064214,소담동 새샘마을,36.4824576,127.2972683,0.0,0.0,0.0,0.0,0.0
SJB293064211,세종시청.교육청.시의회,36.478674,127.288769,0.0,0.0,0.0,0.0,0.0
SJB293064209,보람동.대평동,36.4756055,127.2816359,0.0,0.0,0.0,0.0,0.0
SJB293064251,대평동,36.472267,127.276406,0.0,0.0,0.0,0.0,0.0
SJB293064221,세종고속시외버스터미널(지하),36.4706404,127.273189,0.0,0.0,0.0,0.0,0.0
SJB293064252,대평동,36.472148,127.276445,1223793.0,1152462.0,89666.0,0.18488029379906512,2376255.0
SJB293064206,보람동.대평동,36.4749413,127.2807336,0.0,0.0,0.0,0.0,0.0
SJB293064210,세종시청.교육청.시의회,36.478356,127.288188,0.0,0.0,0.0,0.0,0.0
SJB293064216,소담동 새샘마을,36.4826387,127.2977367,1588231.0,1337015.0,115453.0,0.3034339117814563,2925246.0
SJB293064253,"법원.검찰청,경찰청",36.487095,127.301744,0.0,0.0,0.0,0.0,0.0
SJB293064255,국책연구단지,36.4913263,127.304,0.0,0.0,0.0,0.0,0.0
SJB293064258,반곡동(수루배마을),36.497535,127.310959,2161189.0,2042026.0,339524.0,0.15876618094311182,4203215.0
SJB293064419,집현리,36.497917,127.321985,0.0,0.0,0.0,0.0,0.0
SJB293064417,산학연클러스터,36.500789,127.328331,0.0,0.0,0.0,0.0,0.0
SJB293064492,다솜리,36.5317939,127.3202744,0.0,0.0,0.0,0.0,0.0
SJB293014058,누리리,36.5341,127.292158,0.0,0.0,0.0,0.0,0.0
SJB293014026,한별리,36.5341,127.27661,0.0,0.0,0.0,0.0,0.0
SJB293014017,해밀리,36.52963,127.26478,1249260.0,1167804.0,108292.0,0.573565671489161,2417064.0
SJB293064446,세종충남대학교병원,36.521617,127.259736,0.0,0.0,0.0,0.0,0.0
SJB293056002,도담동,36.51483,127.25896,0.0,0.0,0.0,0.0,0.0
SJB293062014,정부세종청사북측,36.5050692,127.2615051,0.0,0.0,0.0,0.0,0.0
SJB293062007,정부세종청사남측,36.50173,127.25991,0.0,0.0,0.0,0.0,0.0
SJB293062004,다정동,36.49491,127.25649,0.0,0.0,0.0,0.0,0.0
SJB293053004,새롬동.나성동,36.48771,127.25729,0.0,0.0,0.0,0.0,0.0
