행정구역,승차,하차,환승,총_이용객,위도,경도,건물수,최단거리_km,커버여부,최인접정류장
가람동,49869,56444,9641,106313,36.51257075008273,127.23435639079872,754,0.09480533711553667,1,가락마을14단지
고운동,2338141,1969028,180509,4307169,36.48383790989991,127.30078536937935,168,0.3034339117814563,1,소담동 새샘마을
금남면,833910,674777,96217,1508687,36.45470547400584,127.29228850731104,6532,0.7515577754232684,0,발산리
나성동,1924198,1582062,258373,3506260,36.50359301869778,127.2476285776662,196,0.15405143232126556,1,종촌종합복지센터
다정동,540318,507005,36828,1047323,36.51580295414939,127.2489455788452,335,0.19347586389582017,1,아름초등학교
대평동,1986428,1823992,1259792,3810420,36.4951317676075,127.24600401095556,281,0.1484531642072033,1,한결초등학교
도담동,5043017,4367552,1330201,9410569,36.47843613805419,127.25415120534784,238,0.2558109815680455,1,첫마을4단지
반곡동,1856244,1716009,143914,3572253,36.526619221838565,127.2699922070016,117,0.573565671489161,0,해밀리
반포면,406,702,4,1108,36.474705474005845,127.30228850731103,0,0.4518225165703202,1,"장영실고등학교,호탄리(안터)"
보람동,625666,533449,88197,1159115,36.485426850443,127.25056798485532,281,0.04669905384002293,1,새롬동커뮤니티센터
부강면,242728,183003,12239,425731,36.52446511075059,127.37443103930968,4864,0.2461488507996291,1,부강면생활체육관
소정면,70562,43052,857,113614,36.71294139639835,127.1663786974725,1911,1.0378031203569063,0,소정면우체국
아름동,2774151,2383160,209365,5157311,36.4777785333046,127.29044246696756,219,0.176395919331366,1,세종시청.교육청.시의회
어진동,4112090,3855552,976178,7967642,36.48828010375694,127.26079412168929,128,0.29638907643218204,1,새롬동.나성동
연기면,1882955,1623550,226572,3506505,36.54572597176921,127.26248449797936,2606,0.02964422067717812,1,눌왕리(새터말)
연동면,141274,103928,6120,245202,36.553692088908726,127.33097711525976,3910,0.2543815281494824,1,연동중학교
연서면,509392,426861,47569,936253,36.57723225156481,127.25591941732252,8240,0.040781146387186135,1,연서감리교회
장군면,690749,439048,47110,1129797,36.50685844696168,127.20905905955792,5883,0.5303252957585509,0,대교1리(밤실입구)
전동면,237121,188398,7656,425519,36.65146674858409,127.25289848721694,4932,0.8569260712329221,0,석곡리
전의면,389361,271045,38296,660406,36.66927613835936,127.1959945342758,5217,0.15207230316844444,1,신흥리(사사)
조치원읍,6181219,5149391,564170,11330610,36.602257243148586,127.2939429981908,8512,0.20984082661198275,1,조치원역뒤편
종촌동,1863460,1736314,129972,3599774,36.47189084842839,127.27848773817264,139,0.18488029379906512,1,대평동
한솔동,3220295,3047511,480049,6267806,36.49615465532146,127.31141319480736,238,0.15876618094311182,1,반곡동(수루배마을)
