행정구역,승차,하차,환승,총_이용객,위도,경도,건물수,신규정류장,커버여부,최단정류장거리_km
조치원읍,6181219,5149391,564170,11330610,36.602257243148586,127.2939429981908,8512,1,1,0.0
도담동,5043017,4367552,1330201,9410569,36.47843613805419,127.25415120534784,238,0,1,2.857443054309708
어진동,4112090,3855552,976178,7967642,36.48828010375694,127.26079412168929,128,0,1,2.069843643342908
한솔동,3220295,3047511,480049,6267806,36.49615465532146,127.31141319480736,238,0,1,4.915934401847034
아름동,2774151,2383160,209365,5157311,36.4777785333046,127.29044246696756,219,0,1,2.570912549774731
고운동,2338141,1969028,180509,4307169,36.48383790989991,127.30078536937935,168,0,1,3.327290202416325
대평동,1986428,1823992,1259792,3810420,36.4951317676075,127.24600401095556,281,0,1,0.9519884843324282
종촌동,1863460,1736314,129972,3599774,36.47189084842839,127.27848773817264,139,0,1,2.2748185487964925
반곡동,1856244,1716009,143914,3572253,36.526619221838565,127.2699922070016,117,0,1,3.2480684797878037
연기면,1882955,1623550,226572,3506505,36.54572597176921,127.26248449797936,2606,0,1,4.869407307327601
나성동,1924198,1582062,258373,3506260,36.50359301869778,127.2476285776662,196,1,1,0.0
금남면,833910,674777,96217,1508687,36.45470547400584,127.29228850731104,6532,1,1,0.0
보람동,625666,533449,88197,1159115,36.485426850443,127.25056798485532,281,0,1,2.037003592838302
장군면,690749,439048,47110,1129797,36.50685844696168,127.20905905955792,5883,0,1,3.4663657552386407
다정동,540318,507005,36828,1047323,36.51580295414939,127.2489455788452,335,0,1,1.3627755852437444
연서면,509392,426861,47569,936253,36.57723225156481,127.25591941732252,8240,0,1,4.38950230552776
전의면,389361,271045,38296,660406,36.66927613835936,127.1959945342758,5217,1,1,0.0
부강면,242728,183003,12239,425731,36.52446511075059,127.37443103930968,4864,0,0,10.681457584283656
전동면,237121,188398,7656,425519,36.65146674858409,127.25289848721694,4932,1,1,0.0
연동면,141274,103928,6120,245202,36.553692088908726,127.33097711525976,3910,0,0,6.332303518732812
소정면,70562,43052,857,113614,36.71294139639835,127.1663786974725,1911,0,0,5.526983313908131
가람동,49869,56444,9641,106313,36.51257075008273,127.23435639079872,754,0,1,1.5503705127226686
반포면,406,702,4,1108,36.474705474005845,127.30228850731103,0,0,0,2.396959996227568
